Predicted_Sentiment_Label,True_Sentiment_Label
1,text good flavor came secur pack fresh delici love twizzler
0,text seem littl wholesom supermarket brand somewhat mushi doesnt quit much flavor either didnt pass muster kid probabl wont buy
1,text flavor good howev see differc oaker oat brand mushi
1,text realli like mccann steel cut oat find dont cook oftenbr tast much better groceri store brand convenientbr anyth keep eat oatmeal regularli good thing
1,text satisfi twizzler purchas share other enjoy definit order
1,text glad amazon carri batteri hard time find elsewher uniqu size need garag door openerbr great deal price
0,text candi red flavor plan chewi would never buy
0,text product receiv advertisedbr br hrefhttpwwwamazoncomgpproductb001gvisjmtwizzl strawberri 16ounc bag pack 6a
1,text offer great price great tast thank amazon sell productbr br staral
1,text candi deliv fast purchas reason price home bound unabl get store perfect
